dataset,binarization,secret_bits,rep_factor,pair_type,enroll_subject,query_subject,enroll_sample,query_sample,hamming_distance,hamming_ratio_pct,errors_corrected,hash_matched,auth_status
Fingerprint_dataset_60,Median,64,32,genuine_self,54,54,1,1,0,0.0,0,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,genuine_self,55,55,1,1,0,0.0,0,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,genuine_self,56,56,1,1,0,0.0,0,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,genuine_self,57,57,1,1,0,0.0,0,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,genuine_self,58,58,1,1,0,0.0,0,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,genuine_self,59,59,1,1,0,0.0,0,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,genuine_self,60,60,1,1,0,0.0,0,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,2,1,1,636,31.05,632,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,3,1,1,586,28.61,586,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,4,1,1,548,26.76,546,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,5,1,1,526,25.68,526,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,6,1,1,584,28.52,582,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,7,1,1,454,22.17,454,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,8,1,1,568,27.73,568,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,9,1,1,518,25.29,518,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,10,1,1,1024,50.0,874,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,11,1,1,474,23.14,474,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,12,1,1,1024,50.0,874,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,13,1,1,1024,50.0,874,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,14,1,1,462,22.56,462,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,15,1,1,554,27.05,554,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,16,1,1,524,25.59,524,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,17,1,1,528,25.78,528,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,18,1,1,584,28.52,584,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,19,1,1,504,24.61,504,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,20,1,1,530,25.88,530,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,21,1,1,522,25.49,522,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,22,1,1,484,23.63,484,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,23,1,1,548,26.76,548,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,24,1,1,522,25.49,522,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,25,1,1,618,30.18,616,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,26,1,1,1024,50.0,874,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,27,1,1,1024,50.0,874,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,28,1,1,1024,50.0,874,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,29,1,1,576,28.12,576,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,30,1,1,1024,50.0,874,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,1,31,1,1,524,25.59,524,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,1,32,1,1,1024,50.0,874,False,REJECT
